Year,Herbivores,Carnivores,HerbivoreAvgFitness,CarnivoreAvgFitness,HerbivoreAvgAge,CarnivoreAvgAge,HerbivoreAvgWeight,CarnivoreAvgWeight
554,35,163,0.778335017420618,0.765591586736034,10.6857142857143,14.159509202454,24.2115349613682,16.5648719187929
555,34,165,0.767194037965464,0.761319982406519,10.7647058823529,14.2787878787879,23.5408243349238,16.6014521067318
556,31,156,0.791797724576804,0.767584875584947,12.2258064516129,14.9358974358974,25.1019820934161,16.7325133376855
557,27,141,0.801333429773026,0.788378057777414,12.2592592592593,16.468085106383,26.1390238210538,18.4387853762512
558,27,131,0.770547615745826,0.809887795148046,10.7407407407407,18.0152671755725,24.0175026192412,19.7398206473599
559,27,121,0.770970659116603,0.842198297946299,11,18.5702479338843,23.9645916363817,20.0769627285142
560,28,133,0.775560888234266,0.825116977776009,11.3928571428571,17.593984962406,23.9815747028649,18.7565509916148
561,28,136,0.810319928609898,0.798217162520432,12.3571428571429,16.9338235294118,26.024028259775,17.2580618988287
562,36,138,0.708069689143134,0.79248156875092,9.52777777777778,17.2898550724638,20.6978692354134,17.4136447965314
563,34,150,0.757414402644591,0.777742703652516,10.5588235294118,15.0466666666667,22.7592062837554,15.4156828036072
564,32,154,0.801964864878295,0.763270880993122,11.6875,14.8896103896104,25.3695356617623,15.5441171282129
565,34,149,0.806015361613701,0.766381760885048,12,15.1275167785235,26.360357367205,15.8250831427921
566,36,138,0.760500308760861,0.783015841259585,11.1111111111111,16.3333333333333,24.1161481662187,17.770773269634
567,39,131,0.742921643692171,0.801880258288493,9.82051282051282,16.206106870229,22.6475011999864,18.3062045597524
568,36,134,0.774396013871873,0.805125557144039,11.0277777777778,15.6119402985075,24.1819116267867,17.6189690381594
569,37,139,0.762575659948726,0.802679994527048,11.5405405405405,15.5467625899281,23.817837202777,17.976384303373
570,40,144,0.739091833229384,0.790440010297827,10.95,15.2986111111111,22.6750343971735,17.3653671029585
571,37,135,0.763757390168009,0.801499405292106,11.1081081081081,16.0444444444444,24.0055324528951,19.2429180955282
572,37,134,0.756509767771032,0.803106216399552,11.4054054054054,16.6791044776119,23.8774851473983,20.4366911989059
573,39,134,0.759528535565125,0.800384381348564,11.8205128205128,16.9328358208955,24.0196436833494,21.0973605799907
574,35,138,0.754712184398724,0.802516745045784,11.8285714285714,16.5,23.5968731711525,20.9929312896719
575,34,142,0.76106048496641,0.798850421614189,12.2647058823529,16.2535211267606,24.4273289561074,20.0943633118213
576,35,147,0.741208904053424,0.794862326800811,12.0571428571429,15.5102040816327,23.7400343063317,18.4180969689078
577,35,143,0.73040063761395,0.807975487979679,12.4857142857143,15.7412587412587,23.2569308646624,18.1735826034349
578,36,138,0.745749931400163,0.808744983836967,11.1388888888889,15.731884057971,23.3937721276912,17.6229349159169
579,36,131,0.761170523924309,0.826934533096388,12,15.7175572519084,24.3534432729465,17.2167130803036
580,32,140,0.761736975718429,0.813125576170772,13.28125,14.9714285714286,24.9452846996043,16.723961190209
